연번,시도,시군구,선별진료소,전화번호,검체가능,주소,위도,경도
1,서울,강남구,강남구보건소,02-3423-5555,Y,서울특별시 강남구 선릉로 668 (삼성동),37.51631968,127.0423148
2,서울,강남구,삼성서울병원,02-3410-2114,Y,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",37.49034451,127.0895902
3,서울,강남구,연세대학교의과대학강남세브란스병원,02-2019-3114,Y,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",37.49280599,127.0463104
4,서울,강동구,강동경희대학교의대병원,02-440-7000,Y,서울특별시 강동구 동남로 892 (상일동),37.55317036,127.156964
5,서울,강동구,강동구보건소,02-3425-8565,Y,서울특별시 강동구 성내로 45 (성내동),37.52954199,127.1255855
6,서울,강동구,한국보훈복지의료공단중앙보훈병원,02-2225-1114,Y,서울특별시 강동구 진황도로61길 53 (둔촌동),37.52846375,127.1479256
7,서울,강북구,강북구보건소,02-901-7706 02-901-7704,Y,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동주민센터)",37.6318813,127.0390622
8,서울,강서구,강서구보건소,02-2600-5868,Y,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소)",37.5496484,126.8682802
9,서울,강서구,이화여자대학교의과대학부속서울병원,1522-7000,Y,"서울특별시 강서구 공항대로 260, 이화여자대학교 제2부속병원 (마곡동)",37.55726286,126.8362668
10,서울,관악구,관악구보건소,02-879-7131,Y,서울특별시 관악구 관악로 145 (봉천동),37.47821067,126.9515012
11,서울,관악구,에이치플러스양지병원,02-1877-8875,Y,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",37.48436933,126.9325655
12,서울,광진구,광진구보건소,02-450-1937,Y,서울특별시 광진구 자양로 117 (자양동),37.5385399,127.0819124
13,서울,광진구,광진구보건소 자양보건지소,02-450-7090,N,서울특별시 광진구 아차산로24길 17 ,37.54026343,127.0651093
14,서울,광진구,건국대학교병원,02-1588-1533,Y,서울특별시 광진구 능동로 120-1 (화양동),37.54123563,127.0720558
15,서울,구로구,구로구보건소,02-860-2013~2015,Y,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소)",37.50010311,126.8893378
16,서울,구로구,고려대학교의과대학부속구로병원,02-2626-1114,Y,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.49117964,126.8846377
17,서울,구로구,구로성심병원,02-2067-1500,Y,서울특별시 구로구 경인로 427,37.49964687,126.8663582
18,서울,금천구,금천구보건소,02-2627-2717,Y,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구보건소)",37.45706565,126.8960369
19,서울,금천구,희명병원,02-2219-7231,Y,서울특별시 금천구 시흥대로 244,37.45567154,126.9005625
20,서울,노원구,노원구보건소,02-2116-4342~4,Y,서울특별시 노원구 노해로 437 (상계동),37.65451904,127.0562972
21,서울,노원구,노원을지대학교병원,02-970-8000,Y,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.63655985,127.0695917
22,서울,노원구,인제대학교상계백병원,02-950-1114,Y,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.64858199,127.0631157
23,서울,도봉구,도봉구보건소,02-2091-4483,Y,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소)",37.6579418,127.0388316
24,서울,동대문구,동대문구보건소,02-2127-4283,Y,서울특별시 동대문구 천호대로 145 (용두동),37.57439172,127.0398966
25,서울,동대문구,경희대학교병원,02-958-8114,Y,서울특별시 동대문구 경희대로 23 (회기동),37.59377621,127.0507417
26,서울,동대문구,삼육서울병원,1577-3675,Y,서울특별시 동대문구 망우로 82 (휘경동),37.58621194,127.0635533
27,서울,동대문구,서울특별시동부병원,02-920-9118~9,Y,서울특별시 동대문구 무학로 124 ,37.57535399,127.0315127
28,서울,동대문구,서울성심병원,02-966-1616,Y,서울 동대문구 왕산로 259,37.58418905,127.0498198
29,서울,동작구,동작구보건소,02-820-9465,Y,서울특별시 동작구 장승배기로10길 42 (상도동),37.50444553,126.9410884
30,서울,동작구,보라매병원,02-870-2114,Y,서울특별시 동작구 보라매로5길 20 (신대방동),37.49301375,126.9243325
31,서울,마포구,마포구보건소,02-3153-9004~7,Y,"서울특별시 마포구 월드컵로 212 (성산동, 마포구보건소)",37.56631284,126.9016157
