지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
대항주차장,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 강서구 가덕도동 산 13-29,부산광역시 강서구 가덕도동 산 13-29,35.009890,128.825139,19974.9,6053,Y,051-970-2973,,대항지구,,,,미적용,,200,15,,,,부산 강서구,051-970-2973,2019-06-30
마을진입로,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 강서구 가덕도동 382-2,부산광역시 강서구 가덕도동 382-2,35.014489,128.827586,1527.9,463,Y,051-970-2973,,대항지구,,,,미적용,,80,35,,,,부산 강서구,051-970-2973,2019-06-30
(구)외항포가는길,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 강서구 가덕도동 산 3-26,부산광역시 강서구 가덕도동 산 3-26,35.028487,128.817874,1310.1,397,Y,051-970-2973,,대항지구,,,,미적용,,55,25,,,,부산 강서구,051-970-2973,2019-06-30
두송종합사회복지관앞주차장,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 사하구 다대동 469-2,부산광역시 사하구 다대동 469-2,35.044873,128.969475,990,300,Y,051-220-4625,,다대2지구,,,,미적용,,656,27,,,,부산 사하구,051-220-4625,2019-06-30
중현초등학교,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 사하구 다대1동 1550-4,부산광역시 사하구 다대1동 1550-4,35.050725,128.966515,4745.4,1438,Y,051-220-4625,,다대1지구,,,,미적용,,755,35,,,,부산 사하구,051-220-4625,2019-06-30
몰운대공터,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 사하구 다대2동 96-1,부산광역시 사하구 다대2동 96-1,35.061950,128.984229,3300,1000,Y,051-220-4624,,다대1지구,,,,미적용,,600,10,,,,부산 사하구,051-220-4624,2019-06-30
송도초등학교,지진해일대피소,지진해일 긴급대피장소,운동장,부산광역시 서구 암남동 620-2,부산광역시 서구 암남동 620-2,35.0616573970,129.0149367910,3960,1200,Y,051-240-4654,,송도해수욕장 지구,,,,미적용,,210,20,,,,부산 서구,051-240-4654,2019-06-30
BMC아파트 테니스장,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 사하구 다대2동 113-9,부산광역시 사하구 다대2동 113-9,35.064557,128.978905,330,100,Y,051-220-4625,,다대2지구,,,,미적용,,818,40,,,,부산 사하구,051-220-4625,2019-06-30
송도공원(식당) 주차장 앞 공터,지진해일대피소,지진해일 긴급대피장소,공터,부산광역시 서구 암남동 618-8,부산광역시 서구 암남동 618-8,35.0704943627,129.018225,825,250,Y,051-240-4654,,송도해수욕장 지구,,,,미적용,,100,35,,,,부산 서구,051-240-4654,2019-06-30
송도해수욕장 공영주차장,지진해일대피소,지진해일 긴급대피장소,기타,부산광역시 서구 암남동 579,부산광역시 서구 암남동 579,35.073762,129.015711857,3300,1000,Y,051-240-4654,,송도해수욕장 지구,,,,미적용,,360,23,,,,부산 서구,051-240-4654,2019-06-30
